name,name_c,img,price,no_rates,rating_100,released,system_name,processor,windows,storage,display,Wifi,bluetooth,camera,slim,hdmi,usb,spec_score
Asus Zenbook 14 OLED UX3405CA-PZ164...,Asus Zenbook 14 OLED UX3405CA-PZ164WS Laptop (Core Ultra 9/32 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-ux3405ca-pz164ws-167492-v1-small-1.jpg?tr=q-80,155990,9,84,Feb 2025,- Windows 11,Intel Core Ultra 9 (Series 2) 5.4 Ghz,Windows 11,"32 GB LPDDR5X RAM, 1 TB SSD","14"" (35.56 cm), 2880 x 1800 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 14.9 mm,HDMI Port,,
Asus Zenbook 14 OLED UX3405CA-PZ348...,Asus Zenbook 14 OLED UX3405CA-PZ348WS Laptop (Core Ultra 7/32 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-ux3405ca-pz348ws-167495-v1-small-1.jpg?tr=q-80,127990,12,80,Feb 2025,- Windows 11,Intel Core Ultra 7 (Series 2) 5.1 Ghz,Windows 11,"32 GB LPDDR5X RAM, 1 TB SSD","14"" (35.56 cm), 2880 x 1800 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 14.9 mm,HDMI Port,,
Asus Zenbook S 14 OLED UX5406SA-PZ7...,Asus Zenbook S 14 OLED UX5406SA-PZ7762WS Laptop (Core Ultra 7/32 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-ux5406sa-pz7762ws-167265-v1-small-1.jpg?tr=q-80,143900,9,88,Jan 2025,- Windows 11,"Intel Core Ultra 7 (Series 2) 4.8 Ghz, Octa-Core",Windows 11,"32 GB LPDDR5X RAM, 1 TB SSD","14"" (35.56 cm), 2880 x 1800 px, OLED Display",Wi-fi,Bluetooth,Web Camera,Slim 12.9 mm,,,
HP 15-fd0468TU (B61ZJPA) Laptop (Co...,HP 15-fd0468TU (B61ZJPA) Laptop (Core i7/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/hp/hp-15-fd0468tu-b61zjpa-laptop-core-i7-16-gb-512-gb-ssd-windows-11-167356-v3-small-1.jpg?tr=q-80,68490,9,60,Jan 2025,- Windows 11,"Intel Core i7 (13th Gen) 5 Ghz, Deca-Core",Windows 11,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 18.6 mm,HDMI Port,,81
Asus VivoBook 16 X1607CA-MB142WS La...,Asus VivoBook 16 X1607CA-MB142WS Laptop (Core Ultra 5/16 GB/512 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-x1607ca-mb142ws-90nb15a2-m007p0-laptop-core-ultra-5-16-gb-512-gb-ssd-windows-11-167226-v2-small-1.jpg?tr=q-80,75990,9,96,Jan 2025,- Windows 11,Intel Core Ultra 5 (Series 2) 4.9 Ghz,Windows 11,"16 GB DDR5 RAM, 512 GB SSD","16"" (40.64 cm), 1920 x 1200 px, IPS LCD Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,84
Lenovo IdeaPad 3i ChromeBook (82N40...,Lenovo IdeaPad 3i ChromeBook (82N4004JHA) Laptop (Intel Celeron Dual Core/8 GB/64 GB eMMC/Google Chrome) price in India,//www.91-img.com/pictures/laptops/lenovo/lenovo-82n4004jha-164131-v1-small-1.jpg?tr=q-80,21990,8,62,Aug 2024,- Google Chrome,"Intel Celeron Dual-Core 1.1 Ghz, Dual-Core",Google Chrome,8 GB LPDDR4X RAM,"15.6"" (39.62 cm), 1920 x 1080 px, TN LCD Display",Wi-fi,Bluetooth,Web Camera,,HDMI Port,,
Asus Notebook 12 BR1100FKA-BP1104W ...,Asus Notebook 12 BR1100FKA-BP1104W Laptop (Intel Celeron Dual Core/4 GB/128 GB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-br1100fka-bp1104w-151368-v1-small-1.jpg?tr=q-80,28600,105,82,May 2022,- Windows 11,"Intel Celeron Dual-Core 1.1 Ghz, Dual-Core",Windows 11,"4 GB DDR4 RAM, 128 GB SSD","11.6"" (29.46 cm), 1366 x 768 px Display",Wi-fi,Bluetooth,Web Camera,Slim 20.0 mm,HDMI Port,,
MSI GF65 Thin 10SER-1258IN Laptop (...,MSI GF65 Thin 10SER-1258IN Laptop (Core i7 10th Gen/16 GB/512 GB SSD/Windows 10/6 GB) price in India,//www.91-img.com/pictures/laptops/msi/msi-gf65-thin-10ser-1258in-143609-v1-small-1.jpg?tr=q-80,92990,275,90,Mar 2021,- Windows 10,"Intel Core i7 (10th Gen) 5 Ghz, Hexa-Core",Windows 10,"16 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, LED Display",Wi-fi,Bluetooth,Web Camera,Slim 21.7 mm,HDMI Port,1 USB Ports,80
Asus VivoBook 15 X512FL-EJ202T Ultr...,Asus VivoBook 15 X512FL-EJ202T Ultrabook (Core i5 8th Gen/8 GB/512 GB SSD/Windows 10/2 GB) price in India,//www.91-img.com/pictures/laptops/asus/-134648-v1-small-1.jpg?tr=q-80,55990,53,90,Jun 2019,- Windows 10,Intel Core i5 (8th Gen) 1.6 Ghz,Windows 10,"8 GB DDR4 RAM, 512 GB SSD","15.6"" (39.62 cm), 1920 x 1080 px, LED Display",Wi-fi,Bluetooth,Web Camera,Slim 19.9 mm,HDMI Port,,
Asus Expertbook P5 P5405CSA-NZ0583W...,Asus Expertbook P5 P5405CSA-NZ0583WS Laptop (Core Ultra 5 Series 2 /16 GB/1 TB SSD/Windows 11) price in India,//www.91-img.com/pictures/laptops/asus/asus-expertbook-p5-p5405csa-nz0583ws-laptop-core-ultra-5-series-2-16-gb-1-tb-ssd-windows-11-168574-v2-small-1.jpg?tr=q-80,94990,7,82,Apr 2025,- Windows 11,"Intel Core Ultra 5 (Series 2) 4.5 Ghz, Octa-Core",Windows 11,"16 GB LPDDR5X RAM, 1 TB SSD","14"" (35.56 cm), 2560 x 1600 px Display",Wi-fi,Bluetooth,Web Camera,Slim 16.4 mm,HDMI Port,,87
